gene_id,disease_id,molecule_a,molecule_b,type_a,type_b,host_organism,positive_interaction
1843,3,il25_human_gene,PPARG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1844,3,il25_human_gene,RORC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1845,3,il26_human_gene,RORC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1846,3,il31_human_gene,KLF12,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1847,3,il31_human_gene,KLF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1848,3,il31_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1849,3,il32_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1850,3,il32_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1851,3,il32_human_gene,KLF12,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1852,3,il32_human_gene,KLF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1853,3,il32_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1854,3,il32_human_gene,NR1I2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1855,3,il32_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1856,3,il32_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1857,3,il32_human_gene,ZBTB7A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1858,3,il32_human_gene,ZBTB7B,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1859,3,il36b_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1860,3,il3_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1861,3,il3_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1862,3,il7_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1863,3,il7_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1864,3,il8_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1865,3,il8_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1866,3,il8_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1867,3,kitlg_human_gene,KLF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1868,3,kitlg_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1869,3,kitlg_human_gene,TFAP2C,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1870,3,tn13b_human_gene,IRF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1871,3,tnf10_human_gene,IRF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1872,3,tnf10_human_gene,KLF15,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1873,3,tnf10_human_gene,KLF7,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1874,3,tnf18_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1875,3,tnfsf8_human_gene,KLF10,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1876,3,erbb2_human_gene-1,Hsp83,gene,protein,Drosophila melanogaster Schneider 2 late embryo cell,1
1877,3,NKX2-1,srbp2_human_gene,protein,gene,Homo sapiens NCI-H441 distal lung epithelial cell,1
1878,3,NKX2-1,tm245_human_gene,protein,gene,Homo sapiens NCI-H441 distal lung epithelial cell,1
1879,3,mir-122_human_gene,HNF4A,gene,protein,Homo sapiens Huh7 hepatoma cell,1
1880,3,mir-122_human_gene,POLR2A,gene,protein,Homo sapiens Huh7 hepatoma cell,1
1881,3,H1-4,atoh1_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1882,3,H1-4,gli1_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1883,3,H1-4,gli2_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1884,3,H1-4,hes5_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1885,3,mir-494,SUZ12,gene,protein,Homo sapiens Ramos Burkitt's lymphoma cell,1
1886,3,abcbb_human_gene,CARM1,gene,protein,Homo sapiens Huh7 hepatoma cell,1
1887,3,abcbb_human_gene,NCOA1,gene,protein,Homo sapiens Huh7 hepatoma cell,1
1888,3,abcbb_human_gene,NCOA2,gene,protein,Homo sapiens Huh7 hepatoma cell,1
1889,3,abcbb_human_gene,NCOR1,gene,protein,Homo sapiens Huh7 hepatoma cell,1
1890,3,abcbb_human_gene,NR1H4,gene,protein,Homo sapiens liver,1
1891,3,abcbb_human_gene,PPARGC1A,gene,protein,Homo sapiens Huh7 hepatoma cell,1
1892,3,abcbb_human_gene,PPARGC1A,gene,protein,Homo sapiens liver,1
1893,3,acthr_human_gene,ASAH1,gene,protein,Homo sapiens H295R adrenocortical cell,1
1894,3,acthr_human_gene,NR5A1,gene,protein,Homo sapiens H295R adrenocortical cell,1
1895,3,AFF4,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1896,3,APEX1,mdr1_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1897,3,ASF1A,ccna2_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
1898,3,ASXL1,clp1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1899,3,ASXL1,mcm2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1900,3,ASXL1,polr2k_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1901,3,ASXL1,rpl22_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1902,3,ASXL1,taf12_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1903,3,ATF2,pa24a_human_gene,protein,gene,Homo sapiens Type II pulmonary alveolar epithelial cell,1
1904,3,ATF3,stat3_human_gene,protein,gene,Homo sapiens PLC/PRF/5 malignant hepatoma cell,1
1905,3,ATF4,stat3_human_gene,protein,gene,Homo sapiens PLC/PRF/5 malignant hepatoma cell,1
1906,3,axin2_human_gene,FOXM1,gene,protein,Homo sapiens MD11 glioblastoma cell,1
1907,3,BACH2,il2_human_gene,protein,gene,Homo sapiens umbilical cord blood CD4+ T cell,1
1908,3,bambi_human_gene,HDAC1,gene,protein,Homo sapiens LX-2 hepatic stellate cell,1
1909,3,bambi_human_gene,P19838-PRO_0000030311,gene,protein,Homo sapiens LX-2 hepatic stellate cell,1
1910,3,bax_human_gene,BRD7,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
1911,3,BCL6,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1912,3,Bcl6,gli1_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1913,3,Bcl6,gli2_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1914,3,BCL6,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1915,3,BCL6,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1916,3,BCOR,ari3a_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1917,3,BCOR,cdkn1a_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1918,3,BCOR,cdkn1b_human_gene,protein,gene,Homo sapiens B cell,1
1919,3,BCOR,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1920,3,BCOR,gli1_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1921,3,BCOR,gli2_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1922,3,BCOR,irf4_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1923,3,BCOR,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1924,3,birc3_human_gene,CCDC22,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1925,3,bmi1_human_gene,BCL6,gene,protein,Homo sapiens B cell,1
1926,3,bmi1_human_gene,BCOR,gene,protein,Homo sapiens B cell,1
1927,3,bmpr1b_human_gene,EZH2,gene,protein,Homo sapiens glioblastoma,1
1928,3,BPTF,hoxa9_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1929,3,brca1_human_gene,GABPA,gene,protein,Homo sapiens IOSE ovarian epithelial cell,1
1930,3,brca1_human_gene,JUN,gene,protein,Homo sapiens IOSE ovarian epithelial cell,1
1931,3,BRD1,diexf_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1932,3,BRD1,diexf_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1933,3,BRD1,psb2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1934,3,BRD1,psb2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1935,3,BRD1,wdr7_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1936,3,BRD1,wdr7_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1937,3,BRD1,zc3hf_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1938,3,BRD1,zc3hf_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1939,3,BRD1,zn226_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1940,3,BRD1,zn226_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1941,3,BRD4,h1bp3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1942,3,BRD4,mlf2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1943,3,BRD7,bbc3_human_gene,protein,gene,Homo sapiens BJ foreskin fibroblast cell,1
1944,3,BRD7,cdkn1a_human_gene,protein,gene,Homo sapiens BJ foreskin fibroblast cell,1
1945,3,BRD7,mdm2_human_gene,protein,gene,Homo sapiens BJ foreskin fibroblast cell,1
1946,3,caspa_human_gene,IRF4,gene,protein,Homo sapiens KMS12 myeloma cell,1
1947,3,CBX4,vegfa_human_gene,protein,gene,Homo sapiens SMMC7721 hepatoma cell,1
1948,3,CBX4,vegfa_human_gene,protein,gene,Homo sapiens SMMC7721 hepatoma cell,1
1949,3,CBX4,vegfa_human_gene,protein,gene,Homo sapiens SMMC7721 hepatoma cell,1
1950,3,CBX4,vegfa_human_gene,protein,gene,Homo sapiens SMMC7721 hepatoma cell,1
1951,3,CBX8,ari3a_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1952,3,CBX8,ari3b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1953,3,CBX8,cdkn1a_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1954,3,CBX8,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1955,3,CBX8,irf4_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1956,3,CBX8,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1957,3,ccna2_human_gene,H4C16,gene,protein,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
1958,3,ccna2_human_gene,HDAC1,gene,protein,Homo sapiens T98G caucasian glioblastoma cell,1
1959,3,ccna2_human_gene,RB1,gene,protein,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
1960,3,ccna2_human_gene,RB1,gene,protein,Homo sapiens T98G caucasian glioblastoma cell,1
1961,3,ccnd2_human_gene,NR4A1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1962,3,ccng2_human_gene,HDAC2,gene,protein,Homo sapiens SK-N-BE(2) neuroblastoma cell,1
1963,3,ccng2_human_gene,MYCN,gene,protein,Homo sapiens SK-N-BE(2) neuroblastoma cell,1
1964,3,ccr4_human_gene,JUND,gene,protein,Homo sapiens adult T-cell lymphoma cell,1
1965,3,cd69_human_gene,RELA,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
1966,3,cd8b_human_gene,CREM,gene,protein,Homo sapiens CD8+ T lymphocyte,1
1967,3,CDK9,hsp70_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1968,3,CDK9,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1969,3,cdkn1a_human_gene,BRD7,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
1970,3,cdkn1a_human_gene,FOXO3,gene,protein,Homo sapiens HaCaT keratinocyte cell,1
1971,3,cdkn1a_human_gene,MYC,gene,protein,Homo sapiens HaCaT keratinocyte cell,1
1972,3,cdkn1a_human_gene,SMAD4,gene,protein,Homo sapiens HaCaT keratinocyte cell,1
1973,3,cdkn1b_human_gene,BCL6,gene,protein,Homo sapiens B cell,1
1974,3,cdkn1b_human_gene,BCL6,gene,protein,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1975,3,cdkn1b_human_gene,BCOR,gene,protein,Homo sapiens OCI-LY7 B cell lymphoma cell,1
1976,3,CEBPA,fto_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1977,3,CEBPB,ccl3_human_gene,protein,gene,Homo sapiens T/C-28a2 chondrocyte cell,1
1978,3,CEBPB,ccl4_human_gene,protein,gene,Homo sapiens T/C-28a2 chondrocyte cell,1
1979,3,CEBPB,cp11a_human_gene,protein,gene,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1980,3,CEBPB,il12b_human_gene,protein,gene,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1981,3,CEBPB,il8_human_gene,protein,gene,Homo sapiens Chang liver cell,1
1982,3,CEBPB,il8_human_gene,protein,gene,Homo sapiens Chang liver cell,1
1983,3,CEBPB,il8_human_gene,protein,gene,Homo sapiens conjunctival epithelium,1
1984,3,cflar_human_gene,IRF4,gene,protein,Homo sapiens KMS12 myeloma cell,1
1985,3,cflar_human_gene,IRF4,gene,protein,Homo sapiens UTMC2 monoclonal plasma cell,1
1986,3,cflar_human_gene,MYC,gene,protein,Homo sapiens A172 glioblastoma cell,1
1987,3,CHD4,kcd16_mouse_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1988,3,CHD7,gli2_human_gene,protein,gene,Homo sapiens neuronal precursor/neural stem progenitor,1
1989,3,CHD7,jag1_human_gene,protein,gene,Homo sapiens neuronal precursor/neural stem progenitor,1
1990,3,clp1_human_gene,FOXK1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1991,3,COMMD1,birc3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1992,3,cp11a_human_gene,CEBPB,gene,protein,Homo sapiens KGN ovarian granulosa cell,1
1993,3,cp11a_human_gene,NR5A1,gene,protein,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1994,3,cp17a_human_gene,H4C16,gene,protein,Homo sapiens H295R adrenocortical cell,1
1995,3,cp17a_human_gene,NCOA1,gene,protein,Homo sapiens H295R adrenocortical cell,1
1996,3,cp17a_human_gene,POLR2A,gene,protein,Homo sapiens H295R adrenocortical cell,1
1997,3,cp2a6_human_gene,H4C16,gene,protein,Homo sapiens hepatocyte,1
1998,3,cp2a6_human_gene,HNF4A,gene,protein,Homo sapiens hepatocyte,1
1999,3,CREB1,fos_mouse_gene,protein,gene,Mouse myeloid progenitor cells,1
2000,3,CREBBP,vegfa_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
2001,3,Crem,fos_human_gene,protein,gene,Homo sapiens T-cell,1
2002,3,CREM,il17_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
2003,3,CREM,il17f_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
2004,3,CREM,il17f_human_gene,protein,gene,Homo sapiens T-cell,1
2005,3,crum3_human_gene,FOS,gene,protein,Homo sapiens HMLE mammary epithelial cell,1
2006,3,cxcl2_human_gene,KLF6,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2007,3,dmap1_human_gene,BRD4,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2008,3,DNMT1,bmpr1b_human_gene,protein,gene,Homo sapiens glioblastoma,1
2009,3,DNMT3A,il17_human_gene,protein,gene,Homo sapiens T-cell,1
2010,3,DNMT3A,il2_human_gene,protein,gene,Homo sapiens T-cell,1
2011,3,DPF3,il6_human_gene,protein,gene,Homo sapiens HEK293FT embryonic kidney cell,1
2012,3,DPF3,il6_human_gene,protein,gene,Homo sapiens HEK293FT embryonic kidney cell,1
2013,3,e1a_ade05,ccna2_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
2014,3,e1a_ade05,tp73_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
2015,3,EP300,sphk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2016,3,EP300,sphk1_human_gene,protein,gene,Homo sapiens endothelium,1
2017,3,EP300,vegfa_human_gene,protein,gene,Homo sapiens 22rv1 cell,1
2018,3,EZH2,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
2019,3,EZH2,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
2020,3,EZH2,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
2021,3,EZH2,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
2022,3,EZH2,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
2023,3,EZH2,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
2024,3,fas_human_gene,BRD7,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
2025,3,fas_human_gene,PRKDC,gene,protein,Homo sapiens M059JK glioblastoma cell,1
2026,3,fas_human_gene,USF1,gene,protein,Homo sapiens M059JK glioblastoma cell,1
2027,3,fas_human_gene,XRCC5,gene,protein,Homo sapiens M059JK glioblastoma cell,1
2028,3,fkbp5_human_gene,PARP1,gene,protein,Homo sapiens RWPE1 epithelial cell,1
2029,3,fkbp5_human_gene,PRKDC,gene,protein,Homo sapiens RWPE1 epithelial cell,1
2030,3,fkbp5_human_gene,XRCC6,gene,protein,Homo sapiens RWPE1 epithelial cell,1
2031,3,FOS,cadh1_human_gene,protein,gene,Homo sapiens HMLE mammary epithelial cell,1
2032,3,fos_human_gene,SMARCB1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2033,3,fos_human_gene,TWIST1,gene,protein,Homo sapiens HMLE mammary epithelial cell,1
2034,3,fos_mouse_gene,MEIS1,gene,protein,Mouse myeloid progenitor cells,1
2035,3,fosl1_human_gene,SNAI1,gene,protein,Homo sapiens HMLE mammary epithelial cell,1
2036,3,FOSL2,brca1_human_gene,protein,gene,Homo sapiens IOSE ovarian epithelial cell,1
2037,3,FOSL2,ccr4_human_gene,protein,gene,Homo sapiens adult T-cell lymphoma cell,1
2038,3,FOSL2,sox4_human_gene,protein,gene,Homo sapiens HuT 102 peripheral blood cutaneous T-cell lymphoma cell,1
2039,3,fosl2_human_gene,STAT5A,gene,protein,Homo sapiens T-lymphoblast,1
2040,3,FOXK1,mcm2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2041,3,FOXM1,lef1_human_gene,protein,gene,Homo sapiens MD11 glioblastoma cell,1
2042,3,FOXM1,lef1_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
2043,3,FOXM1,lef1_human_gene,protein,gene,Homo sapiens MD11 glioblastoma cell,1
2044,3,FOXM1,lef1_human_gene,protein,gene,Homo sapiens MD11 glioblastoma cell,1
2045,3,FOXM1,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
2046,3,FOXO1,klf2_human_gene,protein,gene,Homo sapiens T-cell,1
2047,3,FOXO3,gdf8_human_gene,protein,gene,Homo sapiens mononuclear cell,1
2048,3,FOXO3,tgfb1_human_gene,protein,gene,Homo sapiens mononuclear cell,1
2049,3,FOXP3,ctla4_mouse_gene,protein,gene,Mouse T cell,1
2050,3,Foxp3,ifng_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
2051,3,Foxp3,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
2052,3,FOXP3,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
2053,3,FOXP3,il2_human_gene,protein,gene,Homo sapiens T-cell,1
2054,3,FOXP3,il2_mouse_gene,protein,gene,Mouse T cell,1
2055,3,FOXP3,il2ra_mouse_gene,protein,gene,Mouse T cell,1
2056,3,foxp3_human_gene,HDAC1,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
2057,3,foxp3_human_gene,KAT2B,gene,protein,Homo sapiens CD4+ T-cell,1
2058,3,foxp3_human_gene,NFATC2,gene,protein,Homo sapiens CD4+ T-cell,1
2059,3,foxp3_human_gene,SIN3A,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
2060,3,foxp3_human_gene,STAT3,gene,protein,Homo sapiens CD4+ T-cell,1
2061,3,fril_human_gene,PML-RAR,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
2062,3,g3p_human_gene,POLR2A,gene,protein,Homo sapiens Huh7 hepatoma cell,1
2063,3,gli2_human_gene,SOX2,gene,protein,Homo sapiens neuronal precursor/neural stem progenitor,1
2064,3,gli3_human_gene,CHD7,gene,protein,Homo sapiens neuronal precursor/neural stem progenitor,1
2065,3,gli3_human_gene,SOX2,gene,protein,Homo sapiens neuronal precursor/neural stem progenitor,1
2066,3,h1bp3_human_gene,JMJD6,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2067,3,H4C16,atoh1_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
2068,3,H4C16,casp7_human_gene,protein,gene,Homo sapiens T98G caucasian glioblastoma cell,1
2069,3,H4C16,fos_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
2070,3,H4C16,gli1_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
2071,3,H4C16,gli2_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
2072,3,H4C16,hes5_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
2073,3,H4C16,hoxa9_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2074,3,H4C16,sphk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2075,3,H4C16,sphk1_human_gene,protein,gene,Homo sapiens endothelium,1
2076,3,H4C16,tf65_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2077,3,H4C16,tp73_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
2078,3,HCFC1,birc5_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2079,3,HCFC1,rir1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2080,3,HCFC1,thap1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2081,3,HCFC1,tor1a_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
2082,3,hck_human_gene,PML-RAR,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
2083,3,hck_human_gene,RXRA,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
2084,3,HDAC1,bambi_human_gene,protein,gene,Homo sapiens hepatic stellate cell,1
2085,3,HDAC1,fos_human_gene,protein,gene,Homo sapiens T-cell,1
2086,3,HDAC1,il17_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
2087,3,HDAC1,il17_human_gene,protein,gene,Homo sapiens T-cell,1
2088,3,hdac6_human_gene,ERG,gene,protein,Homo sapiens endothelium,1
2089,3,hes6_human_gene,EP300,gene,protein,Homo sapiens 22rv1 cell,1
2090,3,hist1h2bh_human_gene,TP73,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2091,3,hist1h3c_human_gene,TP73,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2092,3,hist1h4e_human_gene,TP73,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2093,3,hme1_human_gene,BPTF,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2094,3,hme1_human_gene,SMARCA1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2095,3,hme2_human_gene,BPTF,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2096,3,hme2_human_gene,SMARCA1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2097,3,HNF4A,apoc3_human_gene,protein,gene,Homo sapiens Huh7 hepatoma cell,1
2098,3,HNF4A,myc_human_gene,protein,gene,Homo sapiens gastric tissue,1
2099,3,HNRNPK,cdkn1a_human_gene,protein,gene,Homo sapiens,1
2100,3,hoxa5_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2101,3,hoxa7_human_gene,KAT6A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2102,3,hoxa9_human_gene,CDC73,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2103,3,hoxa9_human_gene,PAF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2104,3,hoxa9_human_gene,Q03164-PRO_0000390949,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2105,3,hoxa9_mouse_gene,KAT5,gene,protein,Mus musculus,1
2106,3,hsp70_human_gene,AFF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2107,3,hsp70_human_gene,MED1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2108,3,hsp70_human_gene,POLR2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2109,3,hsp70_human_gene,TBP,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
2110,3,hxa10_human_gene,NFKBIA,gene,protein,Homo sapiens keratinocyte,1
2111,3,hxd3_human_gene,NFKBIA,gene,protein,Homo sapiens keratinocyte,1
2112,3,ifng_human_gene,FOXP3,gene,protein,Homo sapiens CD4+ T-cell,1
2113,3,ifng_human_gene,RUNX1,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
2114,3,ifng_human_gene,TRIM28,gene,protein,Homo sapiens CD4+ T-cell,1
2115,3,ifng_human_gene,ZFP90,gene,protein,Homo sapiens CD4+ T-cell,1
2116,3,ifnl1_human_gene,IRF1,gene,protein,Homo sapiens BEAS-2B bronchial epithelial cell,1
2117,3,ifnl1_human_gene,ZEB1,gene,protein,Homo sapiens BEAS-2B bronchial epithelial cell,1
2118,3,igfbp7_human_gene,JUN,gene,protein,Homo sapiens melanocyte,1
2119,3,ikba_human_gene,KLF6,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
2120,3,il10_human_gene,PARP1,gene,protein,Homo sapiens mononuclear cell,1
2121,3,il10_mouse_gene,SP1,gene,protein,mouse M15 cells,1
2122,3,il17_human_gene,CREM,gene,protein,Homo sapiens T-cell,1
2123,3,il2_human_gene,FOS,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
2124,3,il2_human_gene,H4C16,gene,protein,Homo sapiens CD4+ T-cell,1
2125,3,il2_human_gene,JUNB,gene,protein,Homo sapiens umbilical cord blood CD4+ T cell,1
